Subnet Calculation Results
------------------------------------------------------------------------
Subnet    Network Address   Host Range                      Broadcast Address
88        17.16.21.192      17.16.21.193 - 17.16.21.254          17.16.21.255
89        17.16.22.0        17.16.22.1 - 17.16.22.62           17.16.22.63
90        17.16.22.64       17.16.22.65 - 17.16.22.126          17.16.22.127
91        17.16.22.128      17.16.22.129 - 17.16.22.190          17.16.22.191
92        17.16.22.192      17.16.22.193 - 17.16.22.254          17.16.22.255
93        17.16.23.0        17.16.23.1 - 17.16.23.62           17.16.23.63
94        17.16.23.64       17.16.23.65 - 17.16.23.126          17.16.23.127
95        17.16.23.128      17.16.23.129 - 17.16.23.190          17.16.23.191
96        17.16.23.192      17.16.23.193 - 17.16.23.254          17.16.23.255
97        17.16.24.0        17.16.24.1 - 17.16.24.62           17.16.24.63
98        17.16.24.64       17.16.24.65 - 17.16.24.126          17.16.24.127
99        17.16.24.128      17.16.24.129 - 17.16.24.190          17.16.24.191
100       17.16.24.192      17.16.24.193 - 17.16.24.254          17.16.24.255
101       17.16.25.0        17.16.25.1 - 17.16.25.62           17.16.25.63
102       17.16.25.64       17.16.25.65 - 17.16.25.126          17.16.25.127
103       17.16.25.128      17.16.25.129 - 17.16.25.190          17.16.25.191
104       17.16.25.192      17.16.25.193 - 17.16.25.254          17.16.25.255
105       17.16.26.0        17.16.26.1 - 17.16.26.62           17.16.26.63
106       17.16.26.64       17.16.26.65 - 17.16.26.126          17.16.26.127
107       17.16.26.128      17.16.26.129 - 17.16.26.190          17.16.26.191
108       17.16.26.192      17.16.26.193 - 17.16.26.254          17.16.26.255
109       17.16.27.0        17.16.27.1 - 17.16.27.62           17.16.27.63
110       17.16.27.64       17.16.27.65 - 17.16.27.126          17.16.27.127
111       17.16.27.128      17.16.27.129 - 17.16.27.190          17.16.27.191
112       17.16.27.192      17.16.27.193 - 17.16.27.254          17.16.27.255
113       17.16.28.0        17.16.28.1 - 17.16.28.62           17.16.28.63
114       17.16.28.64       17.16.28.65 - 17.16.28.126          17.16.28.127
115       17.16.28.128      17.16.28.129 - 17.16.28.190          17.16.28.191
116       17.16.28.192      17.16.28.193 - 17.16.28.254          17.16.28.255
117       17.16.29.0        17.16.29.1 - 17.16.29.62           17.16.29.63
118       17.16.29.64       17.16.29.65 - 17.16.29.126          17.16.29.127
119       17.16.29.128      17.16.29.129 - 17.16.29.190          17.16.29.191
120       17.16.29.192      17.16.29.193 - 17.16.29.254          17.16.29.255
121       17.16.30.0        17.16.30.1 - 17.16.30.62           17.16.30.63
122       17.16.30.64       17.16.30.65 - 17.16.30.126          17.16.30.127
123       17.16.30.128      17.16.30.129 - 17.16.30.190          17.16.30.191
124       17.16.30.192      17.16.30.193 - 17.16.30.254          17.16.30.255
125       17.16.31.0        17.16.31.1 - 17.16.31.62           17.16.31.63
126       17.16.31.64       17.16.31.65 - 17.16.31.126          17.16.31.127
127       17.16.31.128      17.16.31.129 - 17.16.31.190          17.16.31.191
128       17.16.31.192      17.16.31.193 - 17.16.31.254          17.16.31.255
129       17.16.32.0        17.16.32.1 - 17.16.32.62           17.16.32.63
130       17.16.32.64       17.16.32.65 - 17.16.32.126          17.16.32.127
131       17.16.32.128      17.16.32.129 - 17.16.32.190          17.16.32.191
132       17.16.32.192      17.16.32.193 - 17.16.32.254          17.16.32.255
133       17.16.33.0        17.16.33.1 - 17.16.33.62           17.16.33.63
134       17.16.33.64       17.16.33.65 - 17.16.33.126          17.16.33.127
135       17.16.33.128      17.16.33.129 - 17.16.33.190          17.16.33.191
136       17.16.33.192      17.16.33.193 - 17.16.33.254          17.16.33.255
137       17.16.34.0        17.16.34.1 - 17.16.34.62           17.16.34.63
138       17.16.34.64       17.16.34.65 - 17.16.34.126          17.16.34.127
139       17.16.34.128      17.16.34.129 - 17.16.34.190          17.16.34.191
140       17.16.34.192      17.16.34.193 - 17.16.34.254          17.16.34.255
141       17.16.35.0        17.16.35.1 - 17.16.35.62           17.16.35.63
142       17.16.35.64       17.16.35.65 - 17.16.35.126          17.16.35.127
143       17.16.35.128      17.16.35.129 - 17.16.35.190          17.16.35.191
144       17.16.35.192      17.16.35.193 - 17.16.35.254          17.16.35.255
145       17.16.36.0        17.16.36.1 - 17.16.36.62           17.16.36.63
146       17.16.36.64       17.16.36.65 - 17.16.36.126          17.16.36.127
147       17.16.36.128      17.16.36.129 - 17.16.36.190          17.16.36.191
148       17.16.36.192      17.16.36.193 - 17.16.36.254          17.16.36.255
149       17.16.37.0        17.16.37.1 - 17.16.37.62           17.16.37.63
150       17.16.37.64       17.16.37.65 - 17.16.37.126          17.16.37.127
151       17.16.37.128      17.16.37.129 - 17.16.37.190          17.16.37.191
152       17.16.37.192      17.16.37.193 - 17.16.37.254          17.16.37.255
153       17.16.38.0        17.16.38.1 - 17.16.38.62           17.16.38.63
154       17.16.38.64       17.16.38.65 - 17.16.38.126          17.16.38.127
155       17.16.38.128      17.16.38.129 - 17.16.38.190          17.16.38.191
156       17.16.38.192      17.16.38.193 - 17.16.38.254          17.16.38.255
157       17.16.39.0        17.16.39.1 - 17.16.39.62           17.16.39.63
158       17.16.39.64       17.16.39.65 - 17.16.39.126          17.16.39.127
159       17.16.39.128      17.16.39.129 - 17.16.39.190          17.16.39.191
160       17.16.39.192      17.16.39.193 - 17.16.39.254          17.16.39.255
161       17.16.40.0        17.16.40.1 - 17.16.40.62           17.16.40.63
162       17.16.40.64       17.16.40.65 - 17.16.40.126          17.16.40.127
163       17.16.40.128      17.16.40.129 - 17.16.40.190          17.16.40.191
164       17.16.40.192      17.16.40.193 - 17.16.40.254          17.16.40.255
165       17.16.41.0        17.16.41.1 - 17.16.41.62           17.16.41.63
166       17.16.41.64       17.16.41.65 - 17.16.41.126          17.16.41.127
167       17.16.41.128      17.16.41.129 - 17.16.41.190          17.16.41.191
168       17.16.41.192      17.16.41.193 - 17.16.41.254          17.16.41.255
169       17.16.42.0        17.16.42.1 - 17.16.42.62           17.16.42.63
170       17.16.42.64       17.16.42.65 - 17.16.42.126          17.16.42.127
171       17.16.42.128      17.16.42.129 - 17.16.42.190          17.16.42.191
172       17.16.42.192      17.16.42.193 - 17.16.42.254          17.16.42.255
173       17.16.43.0        17.16.43.1 - 17.16.43.62           17.16.43.63
